batch,Instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,percNeg,par_CP,vertices,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,effort,NPV,time
"['50', '10', '2', '10', '0']",dg5.tpf,HS,50,10,2,10,0,2,52,93,9,2,1,"1,612244898",2,1,"1,551020408","0,1",0,156,52,52,"468,8166297",0
"['50', '10', '2', '10', '0']",dg5.tpf,RS,50,10,2,10,0,2,52,93,9,2,1,"1,612244898",2,1,"1,551020408","0,1",0,156,52,52,"468,8166297",0
"['50', '10', '2', '10', '0']",dg6.tpf,SAA,50,10,2,10,0,2,52,94,7,2,1,"1,591836735",2,1,"1,571428571","0,1",0,150,50,112,"707,7175467","0,0156185627"
"['50', '10', '2', '10', '0']",dg6.tpf,HS,50,10,2,10,0,2,52,94,7,2,1,"1,591836735",2,1,"1,571428571","0,1",0,150,50,52,"707,7175467",0
"['50', '10', '2', '10', '0']",dg6.tpf,RS,50,10,2,10,0,2,52,94,7,2,1,"1,591836735",2,1,"1,571428571","0,1",0,150,50,52,"707,7175467",0
"['50', '10', '2', '10', '0']",dg7.tpf,SAA,50,10,2,10,0,2,52,91,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,135,45,109,"629,9608097",0
"['50', '10', '2', '10', '0']",dg7.tpf,HS,50,10,2,10,0,2,52,91,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,135,45,52,"629,9608097",0
"['50', '10', '2', '10', '0']",dg7.tpf,RS,50,10,2,10,0,2,52,91,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,135,45,52,"629,9608097",0
"['50', '10', '2', '10', '0']",dg8.tpf,SAA,50,10,2,10,0,2,52,93,9,2,1,"1,510204082",2,1,"1,489795918","0,1",0,171,57,108,"751,7042105","0,0009970665"
"['50', '10', '2', '10', '0']",dg8.tpf,HS,50,10,2,10,0,2,52,93,9,2,1,"1,510204082",2,1,"1,489795918","0,1",0,171,57,52,"751,7042105",0
"['50', '10', '2', '10', '0']",dg8.tpf,RS,50,10,2,10,0,2,52,93,9,2,1,"1,510204082",2,1,"1,489795918","0,1",0,171,57,52,"751,7042105",0
"['50', '10', '2', '10', '0']",dg9.tpf,SAA,50,10,2,10,0,2,52,94,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,105,35,95,"648,2962104",0
"['50', '10', '2', '10', '0']",dg9.tpf,HS,50,10,2,10,0,2,52,94,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,105,35,52,"648,2962104",0
"['50', '10', '2', '10', '0']",dg9.tpf,RS,50,10,2,10,0,2,52,94,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,105,35,52,"648,2962104",0
"['50', '10', '2', '10', '100']",dg1.tpf,SAA,50,10,2,10,100,1,52,95,7,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",84,42,2264,"-2,220644036","0,03124189377"
"['50', '10', '2', '10', '100']",dg1.tpf,HS,50,10,2,10,100,1,52,95,7,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",84,42,2151,"-2,220644036","0,00651025772"
"['50', '10', '2', '10', '100']",dg1.tpf,RS,50,10,2,10,100,1,52,95,7,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",84,42,10961,"-2,220644036","0,07810473442"
"['50', '10', '2', '10', '100']",dg10.tpf,SAA,50,10,2,10,100,1,52,95,8,2,1,"1,571428571",2,1,"1,612244898","0,1","96,15384615",148,74,2274,"-0,02799991601","0,01562738419"
"['50', '10', '2', '10', '100']",dg10.tpf,HS,50,10,2,10,100,1,52,95,8,2,1,"1,571428571",2,1,"1,612244898","0,1","96,15384615",148,74,2158,"-0,02799991601","0,01562094688"
"['50', '10', '2', '10', '100']",dg10.tpf,RS,50,10,2,10,100,1,52,95,8,2,1,"1,571428571",2,1,"1,612244898","0,1","96,15384615",148,74,9862,"-0,02799991601","0,06900072098"
"['50', '10', '2', '10', '100']",dg2.tpf,SAA,50,10,2,10,100,1,52,94,8,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",94,47,2266,"-0,920845553","0,01562190056"
