Id;Batch;Instance;algo;vertices;layer;fan;disRate;percNeg;cpMult;Vertices;Edges;Diameter;Max in degree;Min in degree;Max out degree;Min out degree;Negative activities;Deadline;Last task Early Finish;effort;NPV
89;16-4-4-25-25-1;dg9.tpf;HS;16;4;4;25;25;1;18;41;6;4;1;4;1;72,22222222;68;34;188;46,74
90;16-4-4-25-25-1;dg9.tpf;RS;16;4;4;25;25;1;18;41;6;4;1;4;1;72,22222222;68;34;307;46,74
91;16-4-4-25-50-1;dg1.tpf;SAA;16;4;4;25;50;1;18;45;6;6;1;4;1;44,44444444;66;33;207;71,58
92;16-4-4-25-50-1;dg1.tpf;HS;16;4;4;25;50;1;18;45;6;6;1;4;1;44,44444444;66;33;137;71,58
93;16-4-4-25-50-1;dg1.tpf;RS;16;4;4;25;50;1;18;45;6;6;1;4;1;44,44444444;66;33;211;71,58
94;16-4-4-25-50-1;dg10.tpf;SAA;16;4;4;25;50;1;18;48;6;4;1;7;1;50;66;33;198;101,46
95;16-4-4-25-50-1;dg10.tpf;HS;16;4;4;25;50;1;18;48;6;4;1;7;1;50;66;33;137;101,46
96;16-4-4-25-50-1;dg10.tpf;RS;16;4;4;25;50;1;18;48;6;4;1;7;1;50;66;33;357;101,46
97;16-4-4-25-50-1;dg2.tpf;SAA;16;4;4;25;50;1;18;46;6;5;1;4;1;44,44444444;70;35;265;29,71
98;16-4-4-25-50-1;dg2.tpf;HS;16;4;4;25;50;1;18;46;6;5;1;4;1;44,44444444;70;35;156;29,71
99;16-4-4-25-50-1;dg2.tpf;RS;16;4;4;25;50;1;18;46;6;5;1;4;1;44,44444444;70;35;229;29,71
100;16-4-4-25-50-1;dg3.tpf;SAA;16;4;4;25;50;1;18;46;6;5;1;4;1;44,44444444;74;37;173;12,32
101;16-4-4-25-50-1;dg3.tpf;HS;16;4;4;25;50;1;18;46;6;5;1;4;1;44,44444444;74;37;109;12,32
102;16-4-4-25-50-1;dg3.tpf;RS;16;4;4;25;50;1;18;46;6;5;1;4;1;44,44444444;74;37;367;12,32
103;16-4-4-25-50-1;dg4.tpf;SAA;16;4;4;25;50;1;18;47;6;5;1;4;1;50;68;34;184;53,46
104;16-4-4-25-50-1;dg4.tpf;HS;16;4;4;25;50;1;18;47;6;5;1;4;1;50;68;34;116;53,46
105;16-4-4-25-50-1;dg4.tpf;RS;16;4;4;25;50;1;18;47;6;5;1;4;1;50;68;34;227;53,46
106;16-4-4-25-50-1;dg5.tpf;SAA;16;4;4;25;50;1;18;49;5;6;1;5;1;22,22222222;74;37;131;141,9
107;16-4-4-25-50-1;dg5.tpf;HS;16;4;4;25;50;1;18;49;5;6;1;5;1;22,22222222;74;37;71;141,9
108;16-4-4-25-50-1;dg5.tpf;RS;16;4;4;25;50;1;18;49;5;6;1;5;1;22,22222222;74;37;75;141,9
109;16-4-4-25-50-1;dg6.tpf;SAA;16;4;4;25;50;1;18;41;6;5;1;8;1;50;58;29;161;63,98
110;16-4-4-25-50-1;dg6.tpf;HS;16;4;4;25;50;1;18;41;6;5;1;8;1;50;58;29;115;63,98
111;16-4-4-25-50-1;dg6.tpf;RS;16;4;4;25;50;1;18;41;6;5;1;8;1;50;58;29;241;63,98
112;16-4-4-25-50-1;dg7.tpf;SAA;16;4;4;25;50;1;18;47;6;6;1;4;1;22,22222222;68;34;158;122,17
113;16-4-4-25-50-1;dg7.tpf;HS;16;4;4;25;50;1;18;47;6;6;1;4;1;22,22222222;68;34;92;122,17
114;16-4-4-25-50-1;dg7.tpf;RS;16;4;4;25;50;1;18;47;6;6;1;4;1;22,22222222;68;34;137;122,17
115;16-4-4-25-50-1;dg8.tpf;SAA;16;4;4;25;50;1;18;45;6;4;1;4;1;44,44444444;68;34;113;61,35
116;16-4-4-25-50-1;dg8.tpf;HS;16;4;4;25;50;1;18;45;6;4;1;4;1;44,44444444;68;34;79;61,35
117;16-4-4-25-50-1;dg8.tpf;RS;16;4;4;25;50;1;18;45;6;4;1;4;1;44,44444444;68;34;346;61,35
118;16-4-4-25-50-1;dg9.tpf;SAA;16;4;4;25;50;1;18;48;6;5;1;4;1;22,22222222;74;37;136;66,4
119;16-4-4-25-50-1;dg9.tpf;HS;16;4;4;25;50;1;18;48;6;5;1;4;1;22,22222222;74;37;64;66,4
120;16-4-4-25-50-1;dg9.tpf;RS;16;4;4;25;50;1;18;48;6;5;1;4;1;22,22222222;74;37;125;66,4
121;16-6-3-25-25-1;dg1.tpf;SAA;16;6;3;25;25;1;18;36;6;7;1;4;1;61,11111111;62;31;161;5,37
122;16-6-3-25-25-1;dg1.tpf;HS;16;6;3;25;25;1;18;36;6;7;1;4;1;61,11111111;62;31;94;5,37
123;16-6-3-25-25-1;dg1.tpf;RS;16;6;3;25;25;1;18;36;6;7;1;4;1;61,11111111;62;31;389;5,37
124;16-6-3-25-25-1;dg10.tpf;SAA;16;6;3;25;25;1;18;39;6;3;1;5;1;61,11111111;86;43;525;45,78
125;16-6-3-25-25-1;dg10.tpf;HS;16;6;3;25;25;1;18;39;6;3;1;5;1;61,11111111;86;43;365;45,78
126;16-6-3-25-25-1;dg10.tpf;RS;16;6;3;25;25;1;18;39;6;3;1;5;1;61,11111111;86;43;697;45,78
127;16-6-3-25-25-1;dg2.tpf;SAA;16;6;3;25;25;1;18;40;7;5;1;6;1;66,66666667;74;37;206;66,2
128;16-6-3-25-25-1;dg2.tpf;HS;16;6;3;25;25;1;18;40;7;5;1;6;1;66,66666667;74;37;169;66,2
