id;algo;vertices;layer;fan;discRate;percNeg;cpMult;effort
353;HS;16;8;4;25;50;1;214
354;RS;16;8;4;25;50;1;855
355;SAA;16;8;4;25;50;1;189
356;HS;16;8;4;25;50;1;126
357;RS;16;8;4;25;50;1;417
358;SAA;16;8;4;25;50;1;120
359;HS;16;8;4;25;50;1;47
360;RS;16;8;4;25;50;1;202
361;SAA;64;4;3;25;25;1;2916
362;HS;64;4;3;25;25;1;2623
363;RS;64;4;3;25;25;1;5130
364;SAA;64;4;3;25;25;1;2382
365;HS;64;4;3;25;25;1;2130
366;RS;64;4;3;25;25;1;11039
367;SAA;64;4;3;25;25;1;4816
368;HS;64;4;3;25;25;1;4119
369;RS;64;4;3;25;25;1;23110
370;SAA;64;4;3;25;25;1;2889
371;HS;64;4;3;25;25;1;2246
372;RS;64;4;3;25;25;1;11027
373;SAA;64;4;3;25;25;1;1699
374;HS;64;4;3;25;25;1;1477
375;RS;64;4;3;25;25;1;4869
376;SAA;64;4;3;25;25;1;2092
377;HS;64;4;3;25;25;1;1765
378;RS;64;4;3;25;25;1;7393
379;SAA;64;4;3;25;25;1;3065
380;HS;64;4;3;25;25;1;2514
381;RS;64;4;3;25;25;1;12431
382;SAA;64;4;3;25;25;1;3526
383;HS;64;4;3;25;25;1;2671
384;RS;64;4;3;25;25;1;10607
385;SAA;64;4;3;25;25;1;1988
386;HS;64;4;3;25;25;1;1452
387;RS;64;4;3;25;25;1;3411
388;SAA;64;4;3;25;25;1;2303
389;HS;64;4;3;25;25;1;2108
390;RS;64;4;3;25;25;1;3627
391;SAA;64;4;3;25;50;1;1175
392;HS;64;4;3;25;50;1;898
393;RS;64;4;3;25;50;1;2581
394;SAA;64;4;3;25;50;1;1202
395;HS;64;4;3;25;50;1;875
396;RS;64;4;3;25;50;1;2837
397;SAA;64;4;3;25;50;1;2498
398;HS;64;4;3;25;50;1;1997
399;RS;64;4;3;25;50;1;14087
400;SAA;64;4;3;25;50;1;765
401;HS;64;4;3;25;50;1;514
402;RS;64;4;3;25;50;1;1206
403;SAA;64;4;3;25;50;1;1318
404;HS;64;4;3;25;50;1;1080
